<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2010.01.04	00:00:00	83.560	83.622	83.123	83.214	10103	0	50
2010.01.04	04:00:00	83.215	83.572	83.043	83.570	7004	0	37
2010.01.04	08:00:00	83.569	84.132	83.528	84.046	12010	0	35
2010.01.04	12:00:00	84.045	84.236	83.979	84.131	10018	0	35
2010.01.04	16:00:00	84.124	84.553	84.033	84.484	10216	0	33
2010.01.04	20:00:00	84.482	84.545	84.234	84.262	5873	0	50
2010.01.05	00:00:00	84.259	84.618	84.038	84.133	9099	0	50
2010.01.05	04:00:00	84.132	84.185	83.622	83.944	9866	0	37
2010.01.05	08:00:00	83.941	84.125	83.769	84.005	12150	0	30
2010.01.05	12:00:00	84.006	84.284	83.337	83.384	11434	0	32
2010.01.05	16:00:00	83.385	83.819	83.323	83.391	10716	0	35
2010.01.05	20:00:00	83.394	83.648	83.355	83.614	5392	0	54
2010.01.06	00:00:00	83.615	83.959	83.405	83.814	8982	0	50
2010.01.06	04:00:00	83.816	84.195	83.816	83.985	7776	0	35
2010.01.06	08:00:00	83.984	84.493	83.823	84.426	11772	0	30
2010.01.06	12:00:00	84.425	84.685	84.341	84.629	10669	0	30
2010.01.06	16:00:00	84.631	85.170	84.610	84.944	10576	0	30
2010.01.06	20:00:00	84.954	85.105	84.766	84.873	7289	0	54
2010.01.07	00:00:00	84.870	85.518	84.833	85.166	9141	0	50
2010.01.07	04:00:00	85.168	85.388	84.625	85.268	8990	0	35
2010.01.07	08:00:00	85.263	85.475	85.097	85.275	12696	0	30
2010.01.07	12:00:00	85.277	85.597	85.203	85.451	12959	0	35
2010.01.07	16:00:00	85.450	85.647	85.338	85.338	9967	0	32
2010.01.07	20:00:00	85.334	85.987	85.314	85.763	7546	0	54
2010.01.08	00:00:00	85.757	85.865	85.240	85.317	10024	0	54
2010.01.08	04:00:00	85.319	85.446	85.124	85.428	8554	0	30
2010.01.08	08:00:00	85.423	85.472	85.040	85.336	10162	0	31
2010.01.08	12:00:00	85.334	85.427	84.588	85.358	14048	0	35
2010.01.08	16:00:00	85.360	85.540	85.348	85.453	5548	0	36
2010.01.08	20:00:00	85.511	85.710	85.498	85.647	327	0	55
2010.01.11	00:00:00	85.877	85.987	85.772	85.886	9038	0	50
2010.01.11	04:00:00	85.892	85.956	85.775	85.795	7198	0	37
2010.01.11	08:00:00	85.796	86.164	85.763	86.163	9583	0	32
2010.01.11	12:00:00	86.162	86.177	85.844	85.873	9362	0	30
2010.01.11	16:00:00	85.868	85.921	85.333	85.569	10941	0	30
2010.01.11	20:00:00	85.568	85.788	85.511	85.522	5882	0	50
2010.01.12	00:00:00	85.531	85.672	84.960	85.349	10002	0	50
2010.01.12	04:00:00	85.348	85.742	85.330	85.715	7460	0	30
2010.01.12	08:00:00	85.711	85.726	84.793	84.940	11669	0	30
2010.01.12	12:00:00	84.938	84.949	84.098	84.251	15256	0	30
2010.01.12	16:00:00	84.244	84.387	83.354	83.628	12042	0	30
2010.01.12	20:00:00	83.629	83.938	83.577	83.936	6181	0	50
2010.01.13	00:00:00	83.936	84.204	83.660	83.935	9584	0	50
2010.01.13	04:00:00	83.936	84.271	83.875	84.256	7148	0	30
2010.01.13	08:00:00	84.257	84.716	84.106	84.344	11611	0	30
2010.01.13	12:00:00	84.341	84.652	84.263	84.407	12011	0	30
2010.01.13	16:00:00	84.406	84.458	83.932	84.285	12925	0	30
2010.01.13	20:00:00	84.290	84.531	84.271	84.359	5107	0	50
2010.01.14	00:00:00	84.526	85.223	84.124	85.209	7657	0	50
2010.01.14	04:00:00	85.210	85.414	85.088	85.192	7227	0	31
2010.01.14	08:00:00	85.191	85.622	85.101	85.473	10518	0	30
2010.01.14	12:00:00	85.474	85.564	84.692	84.908	12409	0	30
2010.01.14	16:00:00	84.916	85.105	84.608	84.654	12447	0	30
2010.01.14	20:00:00	84.655	85.024	84.612	84.967	5551	0	50
2010.01.15	00:00:00	84.962	84.985	84.187	84.376	9819	0	50
2010.01.15	04:00:00	84.377	84.650	84.329	84.447	7563	0	30
2010.01.15	08:00:00	84.449	84.478	83.789	83.825	11885	0	30
2010.01.15	12:00:00	83.803	84.502	83.725	83.985	12596	0	30
2010.01.15	16:00:00	83.984	84.024	83.631	83.800	10824	0	30
2010.01.15	20:00:00	83.797	83.884	83.699	83.715	4540	0	50
2010.01.18	00:00:00	83.661	83.869	83.271	83.379	9022	0	50
2010.01.18	04:00:00	83.380	83.970	83.379	83.879	8636	0	32
2010.01.18	08:00:00	83.881	84.185	83.855	84.111	9257	0	30
2010.01.18	12:00:00	84.113	84.230	83.835	84.165	7727	0	30
2010.01.18	16:00:00	84.167	84.179	84.020	84.055	4815	0	30
2010.01.18	20:00:00	84.051	84.134	83.865	83.887	3679	0	50
2010.01.19	00:00:00	83.892	84.102	83.704	83.708	8751	0	50
2010.01.19	04:00:00	83.709	83.765	83.351	83.729	9016	0	31
2010.01.19	08:00:00	83.728	83.945	83.487	83.637	12931	0	30
2010.01.19	12:00:00	83.638	83.984	83.380	83.910	14369	0	30
