<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2010.01.04	00:00:00	133.118	133.253	132.590	132.743	11886	0	28
2010.01.04	04:00:00	132.742	133.011	132.374	132.999	9456	0	28
2010.01.04	08:00:00	132.993	133.639	132.849	133.618	14644	0	26
2010.01.04	12:00:00	133.620	133.779	133.494	133.651	13447	0	23
2010.01.04	16:00:00	133.635	133.690	133.134	133.466	12805	0	26
2010.01.04	20:00:00	133.467	133.547	133.167	133.174	7663	0	28
2010.01.05	00:00:00	133.171	133.451	132.828	132.953	10523	0	26
2010.01.05	04:00:00	132.950	132.994	132.131	132.775	12277	0	28
2010.01.05	08:00:00	132.773	132.924	132.459	132.549	14178	0	25
2010.01.05	12:00:00	132.550	132.862	131.518	131.529	13098	0	23
2010.01.05	16:00:00	131.547	132.141	131.445	131.543	12509	0	25
2010.01.05	20:00:00	131.537	131.844	131.520	131.738	6039	0	27
2010.01.06	00:00:00	131.755	132.027	131.248	131.769	10303	0	20
2010.01.06	04:00:00	131.770	132.227	131.620	131.805	9270	0	27
2010.01.06	08:00:00	131.803	132.798	131.585	132.740	14164	0	20
2010.01.06	12:00:00	132.736	132.769	132.272	132.664	12071	0	20
2010.01.06	16:00:00	132.666	133.474	132.623	133.252	11635	0	23
2010.01.06	20:00:00	133.265	133.327	132.888	132.973	8182	0	26
2010.01.07	00:00:00	132.972	133.370	132.807	132.927	10021	0	28
2010.01.07	04:00:00	132.924	133.339	132.385	133.191	9635	0	26
2010.01.07	08:00:00	133.184	133.574	133.033	133.328	13767	0	25
2010.01.07	12:00:00	133.333	133.649	133.212	133.446	13893	0	26
2010.01.07	16:00:00	133.447	133.624	133.249	133.250	10713	0	26
2010.01.07	20:00:00	133.248	134.115	133.206	133.872	8717	0	27
2010.01.08	00:00:00	133.865	133.977	133.337	133.467	11372	0	28
2010.01.08	04:00:00	133.472	133.680	133.314	133.664	9018	0	25
2010.01.08	08:00:00	133.667	133.728	133.037	133.371	11990	0	25
2010.01.08	12:00:00	133.368	133.397	132.372	133.238	15432	0	26
2010.01.08	16:00:00	133.244	133.481	133.044	133.481	5680	0	27
2010.01.08	20:00:00	133.436	133.614	133.429	133.499	558	0	30
2010.01.11	00:00:00	133.431	133.876	133.408	133.843	10927	0	28
2010.01.11	04:00:00	133.847	133.981	133.723	133.772	10068	0	27
2010.01.11	08:00:00	133.770	134.351	133.749	134.351	12428	0	22
2010.01.11	12:00:00	134.350	134.366	134.094	134.100	10909	0	23
2010.01.11	16:00:00	134.099	134.149	133.497	133.634	12250	0	23
2010.01.11	20:00:00	133.631	133.772	133.575	133.600	6413	0	22
2010.01.12	00:00:00	133.599	133.729	132.975	133.457	11261	0	27
2010.01.12	04:00:00	133.461	133.800	133.408	133.685	8616	0	26
