<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2010.01.04	00:00:00	149.800	149.955	149.412	149.591	12323	0	84
2010.01.04	04:00:00	149.590	149.670	149.048	149.656	10180	0	65
2010.01.04	08:00:00	149.655	150.689	149.450	150.318	17812	0	63
2010.01.04	12:00:00	150.319	150.582	149.537	149.764	16310	0	63
2010.01.04	16:00:00	149.745	149.871	148.631	149.053	14702	0	63
2010.01.04	20:00:00	149.054	149.129	148.605	148.665	7882	0	80
2010.01.05	00:00:00	148.662	149.113	148.178	148.438	10995	0	80
2010.01.05	04:00:00	148.439	148.464	147.345	148.124	12176	0	62
2010.01.05	08:00:00	148.119	148.375	147.016	147.083	17313	0	59
2010.01.05	12:00:00	147.084	147.537	146.495	146.511	15363	0	50
2010.01.05	16:00:00	146.509	146.998	146.117	146.298	14846	0	57
2010.01.05	20:00:00	146.311	146.803	146.306	146.630	6637	0	82
2010.01.06	00:00:00	146.629	147.152	145.968	146.695	10729	0	80
2010.01.06	04:00:00	146.697	147.175	146.697	147.124	9698	0	59
2010.01.06	08:00:00	147.120	148.097	146.929	147.800	17387	0	57
2010.01.06	12:00:00	147.799	147.902	147.031	147.369	14849	0	50
2010.01.06	16:00:00	147.374	148.432	147.288	147.975	13588	0	57
2010.01.06	20:00:00	147.971	148.083	147.693	147.801	8646	0	84
2010.01.07	00:00:00	147.797	148.249	147.570	147.622	9661	0	80
2010.01.07	04:00:00	147.614	148.194	147.039	148.026	9751	0	51
2010.01.07	08:00:00	148.021	148.131	147.378	147.938	16585	0	50
2010.01.07	12:00:00	147.937	148.598	147.769	148.327	16732	0	53
2010.01.07	16:00:00	148.323	148.649	148.151	148.328	12572	0	50
2010.01.07	20:00:00	148.327	149.306	148.265	149.030	8831	0	84
2010.01.08	00:00:00	149.016	149.211	148.317	148.490	10963	0	84
2010.01.08	04:00:00	148.494	148.956	148.415	148.814	8960	0	52
2010.01.08	08:00:00	148.818	149.373	148.630	149.338	14667	0	57
2010.01.08	12:00:00	149.339	149.450	148.131	148.757	17157	0	57
2010.01.08	16:00:00	148.769	149.007	148.254	148.326	6628	0	58
2010.01.08	20:00:00	148.390	148.556	148.380	148.425	554	0	84
2010.01.11	00:00:00	148.647	148.732	148.253	148.428	10721	0	80
2010.01.11	04:00:00	148.432	148.565	148.225	148.385	9335	0	56
2010.01.11	08:00:00	148.386	149.536	148.343	149.503	14748	0	50
2010.01.11	12:00:00	149.502	149.574	148.984	148.985	13543	0	50
2010.01.11	16:00:00	148.984	149.062	148.163	148.192	13822	0	50
2010.01.11	20:00:00	148.188	148.442	148.046	148.324	6946	0	80
2010.01.12	00:00:00	148.324	148.517	147.643	148.199	10703	0	80
2010.01.12	04:00:00	148.198	148.622	148.090	148.585	8551	0	50
2010.01.12	08:00:00	148.584	148.596	147.608	147.951	16004	0	50
2010.01.12	12:00:00	147.948	148.195	147.024	147.295	17928	0	50
2010.01.12	16:00:00	147.294	147.473	146.647	146.996	14105	0	50
2010.01.12	20:00:00	147.002	147.318	146.896	147.318	7642	0	80
2010.01.13	00:00:00	147.319	147.649	146.680	147.028	10523	0	80
2010.01.13	04:00:00	147.030	147.828	146.899	147.810	9454	0	51
2010.01.13	08:00:00	147.806	148.726	147.665	148.331	16051	0	50
2010.01.13	12:00:00	148.329	148.896	148.272	148.796	16027	0	50
2010.01.13	16:00:00	148.795	149.028	148.230	148.752	15901	0	50
2010.01.13	20:00:00	148.762	148.978	148.589	148.646	6144	0	28
2010.01.14	00:00:00	148.879	149.430	148.604	149.419	8197	0	80
2010.01.14	04:00:00	149.420	149.511	149.115	149.190	8474	0	51
2010.01.14	08:00:00	149.195	149.984	149.122	149.696	13629	0	50
2010.01.14	12:00:00	149.697	149.739	148.527	148.752	15526	0	50
2010.01.14	16:00:00	148.765	149.027	148.358	148.501	15643	0	50
2010.01.14	20:00:00	148.502	149.099	148.383	149.036	6936	0	80
2010.01.15	00:00:00	149.036	149.185	148.059	148.546	11799	0	80
2010.01.15	04:00:00	148.548	149.067	148.459	148.786	10395	0	54
2010.01.15	08:00:00	148.783	148.792	147.582	147.627	16649	0	50
2010.01.15	12:00:00	147.563	148.606	147.403	148.018	16309	0	50
2010.01.15	16:00:00	148.019	148.044	147.149	147.659	14770	0	50
2010.01.15	20:00:00	147.655	147.915	147.544	147.580	6188	0	80
2010.01.18	00:00:00	147.886	148.117	147.494	147.771	10670	0	80
2010.01.18	04:00:00	147.770	148.564	147.768	148.220	11489	0	55
2010.01.18	08:00:00	148.225	148.885	148.145	148.532	15201	0	56
2010.01.18	12:00:00	148.531	148.533	147.783	148.092	12455	0	54
2010.01.18	16:00:00	148.094	148.377	147.984	148.152	8775	0	56
2010.01.18	20:00:00	148.153	148.349	148.061	148.185	5878	0	80
2010.01.19	00:00:00	148.185	148.946	148.063	148.596	11088	0	80
2010.01.19	04:00:00	148.600	148.682	148.152	148.587	10986	0	55
2010.01.19	08:00:00	148.588	149.038	147.985	148.762	18529	0	56
2010.01.19	12:00:00	148.760	149.141	148.247	149.097	18867	0	51
2010.01.19	16:00:00	149.094	149.439	148.964	149.108	14270	0	50
2010.01.19	20:00:00	149.101	149.252	148.939	149.087	7812	0	80
2010.01.20	00:00:00	149.082	149.230	148.618	148.937	13219	0	80
2010.01.20	04:00:00	148.936	149.050	148.467	148.685	12551	0	55
2010.01.20	08:00:00	148.683	148.685	147.556	147.839	18451	0	56
2010.01.20	12:00:00	147.838	148.947	147.679	148.786	18421	0	56
2010.01.20	16:00:00	148.784	148.890	148.301	148.526	14156	0	28
2010.01.20	20:00:00	148.528	148.734	148.449	148.690	7757	0	28
2010.01.21	00:00:00	148.690	148.924	148.438	148.565	12470	0	80
2010.01.21	04:00:00	148.564	149.074	148.519	148.946	11010	0	53
2010.01.21	08:00:00	148.942	149.034	147.960	148.000	18194	0	56
2010.01.21	12:00:00	148.001	148.916	147.919	148.729	17652	0	52
2010.01.21	16:00:00	148.726	148.904	146.077	146.423	19500	0	50
2010.01.21	20:00:00	146.411	146.558	146.129	146.407	11582	0	80
2010.01.22	00:00:00	146.401	146.553	145.392	145.819	15775	0	80
2010.01.22	04:00:00	145.816	146.677	145.536	146.303	11694	0	56
2010.01.22	08:00:00	146.302	147.205	146.212	146.653	18066	0	50
2010.01.22	12:00:00	146.652	146.728	145.001	145.335	18413	0	51
2010.01.22	16:00:00	145.334	145.684	144.685	145.051	17047	0	56
2010.01.22	20:00:00	145.049	145.142	144.585	144.696	8727	0	80
2010.01.25	00:00:00	144.842	145.438	144.704	145.397	11885	0	80
2010.01.25	04:00:00	145.391	145.699	144.957	145.604	9570	0	56
2010.01.25	08:00:00	145.605	145.975	145.066	145.886	15295	0	54
2010.01.25	12:00:00	145.885	146.038	145.427	145.786	14740	0	50
2010.01.25	16:00:00	145.793	146.628	145.520	146.610	15828	0	56
2010.01.25	20:00:00	146.611	146.696	146.418	146.589	8020	0	28
2010.01.26	00:00:00	146.589	147.259	146.398	146.412	10719	0	80
2010.01.26	04:00:00	146.414	146.575	145.105	146.115	15834	0	56
2010.01.26	08:00:00	146.114	146.715	144.069	144.271	19254	0	54
2010.01.26	12:00:00	144.278	144.887	144.212	144.609	17182	0	56
2010.01.26	16:00:00	144.621	144.992	144.363	144.835	15594	0	56
2010.01.26	20:00:00	144.828	144.881	144.580	144.717	8018	0	80
2010.01.27	00:00:00	144.714	144.839	144.090	144.216	12844	0	80
2010.01.27	04:00:00	144.214	144.392	143.620	143.992	11768	0	52
2010.01.27	08:00:00	143.986	145.382	143.793	145.038	17989	0	50
2010.01.27	12:00:00	145.034	145.534	144.548	144.619	17242	0	56
2010.01.27	16:00:00	144.615	144.883	144.423	144.756	15369	0	50
2010.01.27	20:00:00	144.760	145.661	144.634	145.546	12135	0	80
2010.01.28	00:00:00	145.545	146.325	145.298	146.284	13296	0	80
2010.01.28	04:00:00	146.285	146.505	145.836	146.226	10877	0	54
2010.01.28	08:00:00	146.223	147.206	146.152	146.513	17314	0	50
2010.01.28	12:00:00	146.510	146.815	146.117	146.167	16684	0	50
2010.01.28	16:00:00	146.169	146.219	144.616	144.968	17059	0	50
