<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2010.01.04	00:00:00	67.076	67.141	66.742	66.800	8665	0	80
2010.01.04	04:00:00	66.802	67.360	66.796	67.279	7812	0	80
2010.01.04	08:00:00	67.278	67.662	67.261	67.612	11388	0	80
2010.01.04	12:00:00	67.610	67.758	67.456	67.744	11848	0	80
2010.01.04	16:00:00	67.742	68.032	67.679	67.887	8006	0	80
2010.01.04	20:00:00	67.885	67.990	67.760	67.858	5178	0	80
2010.01.05	00:00:00	67.859	67.960	67.474	67.496	7738	0	80
2010.01.05	04:00:00	67.495	67.565	67.139	67.430	10457	0	80
2010.01.05	08:00:00	67.431	67.754	67.340	67.733	12118	0	80
2010.01.05	12:00:00	67.725	67.870	67.072	67.438	13445	0	80
2010.01.05	16:00:00	67.439	67.464	67.039	67.340	8829	0	80
2010.01.05	20:00:00	67.337	67.368	67.068	67.129	4448	0	80
2010.01.06	00:00:00	67.128	67.520	66.946	67.408	7305	0	80
2010.01.06	04:00:00	67.409	67.580	67.262	67.445	8507	0	80
2010.01.06	08:00:00	67.445	67.763	67.357	67.629	10209	0	80
2010.01.06	12:00:00	67.683	68.004	67.482	67.957	12648	0	80
2010.01.06	16:00:00	67.956	68.202	67.895	68.202	9469	0	80
2010.01.06	20:00:00	68.204	68.219	67.934	68.116	4533	0	80
2010.01.07	00:00:00	68.115	68.534	67.999	67.999	7611	0	80
2010.01.07	04:00:00	68.000	68.409	67.776	68.380	10511	0	80
2010.01.07	08:00:00	68.378	68.401	68.021	68.095	11644	0	80
2010.01.07	12:00:00	68.093	68.374	68.084	68.369	13533	0	80
2010.01.07	16:00:00	68.370	68.374	68.112	68.299	7489	0	80
2010.01.07	20:00:00	68.297	68.625	68.189	68.408	6733	0	80
2010.01.08	00:00:00	68.410	68.525	68.113	68.181	7770	0	80
2010.01.08	04:00:00	68.179	68.242	68.018	68.099	7695	0	80
2010.01.08	08:00:00	68.097	68.227	67.883	68.111	8960	0	80
2010.01.08	12:00:00	68.114	68.228	67.492	68.059	15921	0	80
2010.01.08	16:00:00	68.058	68.216	67.965	68.137	9208	0	80
2010.01.08	20:00:00	68.139	68.273	68.117	68.214	2297	0	80
2010.01.11	00:00:00	68.318	68.345	68.129	68.267	7252	0	80
2010.01.11	04:00:00	68.266	68.314	68.142	68.236	6676	0	80
2010.01.11	08:00:00	68.235	68.547	68.212	68.435	9085	0	80
2010.01.11	12:00:00	68.438	68.540	68.055	68.195	11016	0	80
2010.01.11	16:00:00	68.194	68.404	67.986	68.380	8286	0	80
2010.01.11	20:00:00	68.379	68.454	68.209	68.267	4620	0	80
2010.01.12	00:00:00	68.260	68.279	67.854	68.222	8586	0	80
