<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2010.01.04	00:00:00	1094.61	1099.15	1093.08	1097.87	9623	0	0
2010.01.04	04:00:00	1097.87	1104.15	1096.95	1102.85	7986	0	0
2010.01.04	08:00:00	1102.75	1115.15	1100.35	1113.10	3879	0	0
2010.01.04	12:00:00	1113.00	1124.00	1113.00	1121.05	4596	0	0
2010.01.04	16:00:00	1121.00	1123.90	1115.70	1116.40	4630	0	0
2010.01.04	20:00:00	1116.25	1121.40	1116.05	1121.05	1444	0	0
2010.01.05	00:00:00	1121.40	1123.10	1120.35	1121.59	1862	0	0
2010.01.05	04:00:00	1121.05	1127.85	1120.85	1126.80	2335	0	0
2010.01.05	08:00:00	1126.75	1127.95	1122.55	1122.65	3200	0	0
2010.01.05	12:00:00	1122.60	1128.85	1118.15	1120.40	4325	0	0
2010.01.05	16:00:00	1120.30	1126.45	1115.40	1117.50	4597	0	0
2010.01.05	20:00:00	1117.30	1120.20	1115.50	1117.65	1750	0	0
2010.01.06	00:00:00	1119.20	1124.00	1117.30	1123.95	1893	0	0
2010.01.06	04:00:00	1124.00	1124.95	1119.95	1121.40	2527	0	0
2010.01.06	08:00:00	1121.50	1126.90	1118.45	1125.70	3687	0	0
2010.01.06	12:00:00	1125.80	1132.45	1121.35	1128.40	4349	0	0
2010.01.06	16:00:00	1128.35	1138.25	1128.15	1136.50	5237	0	0
2010.01.06	20:00:00	1136.45	1140.65	1136.10	1137.15	2340	0	0
2010.01.07	00:00:00	1136.60	1139.20	1131.45	1133.35	2394	0	0
2010.01.07	04:00:00	1133.40	1134.60	1131.00	1132.55	2688	0	0
2010.01.07	08:00:00	1132.60	1134.15	1128.60	1132.05	3470	0	0
2010.01.07	12:00:00	1132.00	1135.70	1128.70	1130.50	4342	0	0
2010.01.07	16:00:00	1130.55	1134.10	1129.60	1132.55	4390	0	0
2010.01.07	20:00:00	1132.60	1135.20	1130.35	1131.45	1842	0	0
2010.01.08	00:00:00	1127.65	1127.90	1122.05	1123.00	2409	0	0
